Name,Company,Description,Linkedin 
Elizabeth Yin,Hustle Fund,"Elizabeth Yin is a co-founder and General Partner at Hustle Fund, a pre-seed fund for software entrepreneurs. Previously, Elizabeth was a partner at 500 Startups where she invested in seed stage companies and ran the Mountain View accelerator. In a prior life, Elizabeth co-founded and ran an adtech company called LaunchBit (acq 2014). Elizabeth has a BSEE from Stanford and an MBA from MIT Sloan.",https://www.linkedin.com/in/elizabethyin/
Jesse Middleton,Flybridge,"Jesse's venture career has been marked by a series of notable successes, a number of misses, and a deep commitment to supporting early-stage companies. After his tenure as a founding team member at WeWork, where he played a crucial role in the company's expansion, Jesse made a transition to venture capital. As a General Partner at Flybridge, a seed-stage venture capital firm for ambitious founders leveraging the power of community, he has become a trusted investor and board member to numerous startups around the world. With a keen eye for innovative ideas and promising startups, Jesse has backed over fifty pre-seed and seed stage companies during his time as an angel investor and his tenure at Flybridge. His investment focus centers on the future of work, emphasizing areas such as creativity, culture, collaboration, and communication. By strategically investing in and supporting companies that align with these themes, Jesse aims to contribute to the evolution of how we work and interact over the next decade and beyond. Furthermore, Jesse's commitment to the startup ecosystem extends beyond his role at Flybridge. Jesse built and supported a community of thousands of founders in WeWork Labs across NYC, SF, LA, and beyond. During his time as an angel investor, he served as an advisor to several early-stage technology startups, providing them with valuable guidance and support. Notable ventures in which he played an advisory role include fitmob (acquired by ClassPass), inDinero, Jackpocket, Squire, and YourTrove (acquired by LiveNation).",https://www.linkedin.com/in/jmiddleton/
Geri Kirilova,Laconia,"Geri is a Managing Partner at Laconia where she leads pre-seed & seed investments in business-to-business software companies. Laconia is sector-agnostic, and Geri is particularly interested in companies serving long-tail markets and empowering underdogs to challenge incumbents. Select portfolio companies include Ocrolus, Wethos, Yuvo Health, Wavy, and Paloma. Before Laconia, Geri worked at Techstars, Launchub Ventures, and Credo Ventures. Among other topics, Geri has written extensively about US VC industry structure and startup fundraising strategy. 
Geri is a guest expert speaker at the VC Academy. ",https://www.linkedin.com/in/gerikirilova/
Pedro Vieira,500 Global,"Pedro is an accomplished investor with a remarkable background. He founded and sold GoodGuide, a notable digital health venture, achieving a successful exit. Following this, he established West to West, a non-profit organization in the United States dedicated to supporting Portuguese and EU entrepreneurs in thriving within Silicon Valley, managing an impressive portfolio of 200+ startups. Later, he was Partner at the Shilling Founders Fund, a substantial €50+ million early-stage tech fund. Now, as Partner at 500 Global, he actively designs and oversees acceleration and investment initiatives. Pedro is a hands-on investor, connecting startups with a vast network of VC community members. His profound knowledge of the startup ecosystem, both locally and globally, has earned him recognition as a sought-after speaker at major startup-related conferences, panel discussions, and media interviews, making him a true luminary in the field.",https://www.linkedin.com/in/santosvieira/
Jason Ball,Ball Ventures,"Jason Ball is a venture capital and angel investor with 20 years of experience in fund management. Jason has made a significant impact across various stages from seed to growth. His expertise spans consumer products, enterprise software, deep tech, and semiconductors. Since 2014, he has been an active angel investor, contributing to the success of companies like Citymapper, Monzo, Argent, and Upside Foods. He is currently a General Partner at Rule 30, a quantitative venture capital fund. Previously, he has held roles at GR Capital and Qualcomm Ventures, where he was involved in Arteris, Videoplaza, Peak Games, Lime, Waze, Fitbit, and Zoom. Beyond his investment career, Jason contributes to the tech community as an advisory panel member for Tech Nation and founded American VCs in London to unite the expat venture capital community. His angel investments reflect his commitment to innovation and entrepreneurship, particularly in tech startups and sustainable solutions.",https://www.linkedin.com/in/jasonball/?originalSubdomain=uk
Marie Therese Fam,Five 35 Ventures,"Marie-Therese is an independent investment advisor working as a part-time consultant with a number of Egyptian and regional startups as well as local and regional Fund Managers. Within the scope of her consultancy role with startups, MT assists startups with their fundraising efforts, growth hacking, access to financiers, regulators and service providers, in addition to helping with regional expansion of the business and team leveraging her extensive network in the GCC and Sub-Saharan Africa regions. The consultancy work with fund managers includes helping first time fund managers design intuitive fund strategies that align with market conditions as well as Institutional LP mandates. She also assists with access to European and local LPs. Prior to that MT was Silicon Badia’s Partner, managing Silicon Badia’s $50mn Badia Impact Squared Fund and covering Silicon Badia’s wider MENA region practice. At Silicon Badia, Marie-Therese was actively leading the fundraising efforts for Badia Impact Squared Fund’s second closing, in addition to her duties as Fund Manager, member of the Investment Committee and board member in a number of Silicon Badia’s portfolio companies. Prior to joining Silicon Badia, Marie was the Managing Partner and Board Member for Flat6Labs, managing all of Flat6Labs operations in Egypt from 2017 till 2021, including managing the Flat6Labs Egypt Seed Fund, a USD 13million seed fund investing in bright innovative technology entrepreneurs in Egypt. She managed a portfolio of over 70 companies covering a multitude of sectors including healthtech, edutech, finchtech, e-commerce, digital content, and logistics startups. Prior to joining Flat6Labs Egypt, Marie-Therese held several managerial leading positions in banking and non-banking financial institutions in Egypt and the GCC, among which managing USD 1bn in AUMs invested across mutual funds and discretionary portfolios. She received her Bachelor in Economics from Cairo University in 2003 and Masters Degree in Financial Economics from the University of Warwick, England in 2007.",https://www.linkedin.com/in/marie-therese-fam-23725032/
Jeffrey Silverman,Laconia,"Jeffrey Silverman is a Managing Partner at Laconia. An operator at his core, Jeffrey's career has been focused on building and scaling early stage media and technology companies. Prior to founding Laconia, Jeffrey was the CEO and President of Integrated Color Solutions (ICS).",https://www.linkedin.com/in/jeffreyleesilverman/
Qamar Aftab,Wa’ed Ventures,"Qamar Aftab is leading the global and strategic investments for Wa’ed Ventures, Aramco’s $500 million venture fund. Over the past few years, he has led investments in multiple deep-tech startups in sectors like Quantum Computing, Drones, Satellites, Modular Housing, AI, Cybersecurity and Circular Economy. He has a global work experience with deals spread across US, Europe, Asia, and Middle East. Prior to Wa’ed, he led the corporate finance function for an agriculture technology startup and raised ~$35 million dollars from leading international and regional investors. Before that, he deployed over $500 million in private equity and impact investments across the globe. By training, Qamar is a finance professional and holds the prestigious CFA Charter.",https://www.linkedin.com/in/qamaraftabcfa/
Ignacio Monereo,Boost Capital Partners,"Ignacio is a partner at Boost Capital and previous to that he was the head of Gaming Creators at Meta for the EMEA and APAC regions. As well, Ignacio spent 8 years at Google managing Android gaming developers across Western Europe and helping them to launch and grow their apps in the Google Play store. Ignacio has always been very interested in the startup scene and is an angel investor and board member in several companies.",https://www.linkedin.com/in/ignacio-monereo/
Adam Bonnifield,,"Adam Bonnifield is a tech entrepreneur behind some of the most impactful projects in global mobility. Most recently he served as CEO of KONUX, the first AI scale-up in rail, which doubles the capacity of rail networks with intelligent sensing infrastructure. He also served as Head of AI at Airbus, the world’s largest aerospace company, driving innovations in autonomous flight, advanced manufacturing, predictive maintenance and sustainability. Previously, Adam led data and technology projects for the Obama White House, and founded two startups dedicated to democratising AI and Big Data.",https://www.linkedin.com/in/bonnifield/
Giovanni Strocchi,Blacksheep Ventures,"Giovanni Strocchi is a seasoned digital innovation expert and venture partner with over 25 years of experience in digital innovation, big data services, communication, sales, and marketing. He is a senior angel investor and a member of the Italian Angel Association Screening Board1. Giovanni is the former CEO of ADmantX, which he led to become a leading data provider in contextual advertising and brand safety, until its acquisition by Integral AdScience (IAS) backed by Vista Equity Fund.",https://www.linkedin.com/in/gstrocchi/?originalSubdomain=it
Mergim Cahani,Gjirafa,"Mergim Cahani is the Founder and CEO of Gjirafa Inc – Gjirafa is one of the fastest-growing tech companies in Central Europe (Deloitte Fast 50 2021 in CE position #11), with a mission to build the Internet economy in the Balkan region. Gjirafa’s ecosystem of services encompasses e-commerce, video streaming, online marketing, cloud computing, and entertainment production, and it is one of the most well-funded tech startups in Europe. Previously, in New York, Mergim worked for Broadridge Financial Solutions (NYSE:BR), an Adjunct Assistant Professor at St. John’s University, and an executive management consulting program at Morgan Stanley (NYSE:MS). Regionally, Mergim was teaching at various universities, was the President of the Board of Governors at the American Chamber of Commerce in Kosovo, a board member of ATOM Institute and GAP Institute, an advisory board member of several startups, accelerators, and funds. His education includes a BS and MS degree in Computer Science, and an MBA in Management, from St. John’s University and New York University.",https://www.linkedin.com/in/cahani/
Oleksandr Yaroshenko,Headway,"Oleksandr Yaroshenko is the Head of Strategy and Investments at Headway, an EdTech company that develops microlearning products helping over 120M+ private and corporate users in 170 countries achieve self-development goals. Oleksandr has 7+ years of experience in С-suite consulting, business and strategy development, investor relations, and advising startup portfolios. At Headway, he is responsible for fundraising, maintaining investor relationships, and creating business development strategies. In 2020, when Oleksandr first met Anton Pavlosky, Headway's Founder and CEO, Headway was a 15-person startup. Later, Oleksandr helped bootstrap its growth into the globally renowned company with more than 350 people on board, over 120 million users, and offices in Madrid, Warsaw, Kyiv, and Nicosia, demonstrating over 100% y-o-y revenue increase through the years. Beyond Headway, among Oleksandr's other most significant achievements are raising over $20 million in a financing round for another Ukrainian-founded startup and running the buy & sell sides of the M&A transactions as well as their due diligence parts. He has also joined the expert council to help compile the Incredible Tech catalog (Investors Guide) developed by the IT Ukraine Association and the Ministry of Digital Transformation of Ukraine. Submit a HIG",https://www.linkedin.com/in/oyaroshenko/
Igor Strecko,Webglobe,"Igor is one of the founders of the company Webglobe with over 20 years of experience in the Central European web hosting market. In 1999, Igor founded his first web hosting company. In 2014, he made his first acquisition: a competitor named Yegon. In 2019, he returned to Slovakia with the ambition to elevate internet services in the region to a new level.",https://www.linkedin.com/in/strecko/
Jakub Krajcovic,Sandberg Capital,"Jakub has lived on three continents and almost 10 years Down Under. His first career was in IT and it took him from on adventures in Hollywood movies through to PwC in Sydney. After finishing his MBA and returning to Slovakia, he found his calling in investing and developing small and medium-sized companies. At Sandberg he is actively developing our IT portfolio and in his free time he dabbles in management education. He likes to relax while scuba diving or reading and enjoys travelling the world with his family.",https://www.linkedin.com/in/jakubkrajcovic/
Marek Zamecnik,Vestberry,"Marek Zamecnik is CEO and co-founder of Vestberry - portfolio management and reporting software for VC & PE. The software offers automation of workflow, reporting, communication with LPs and provides advanced analytics to make better investment decisions. Before establishing Vestberry, Marek previously worked in Kuala Lumpur in the investment company called Nova Founders Capital where he was responsible for the development of the portfolio companies, namely Private Equity Insights.",https://www.linkedin.com/in/marek-zamecnik/
Kristina Moncekova,Zero One Hundred,"Kristina handles operations and community at Zero One Hundred. She's eager to support relationship-building within the organization and ensures everything runs smoothly. Having recently finished her studies in Economy and Law in Bratislava, she is excited to focus on helping Zero One Hundred in its mission.",https://www.linkedin.com/in/krist%C3%ADna-mon%C4%8Dekov%C3%A1-769022171/
Adam Durica,Zero One Hundred,"Adam is an investment manager responsible for the investment process and portfolio management. Previously, he gained experience at FSG (Financial Association), at Ardal (Debt & Liquidity Agency), and at Erste Group. He holds economics degrees from Erasmus University Rotterdam (MSc.) and from University of Groningen (BSc.).",https://www.linkedin.com/in/adamdurica/
Michal Csonga,Zero One Hundred,"Michal has acquired his 360 tech market experience across Asia and the West while managing global corporate teams, co-launching and operating early-stage companies, coordinating NGO projects and boards, and investing in startups. 
After his return to fast-developing Eastern Europe, Michal focuses on strengthening the innovation ecosystems and venture capital investment activities. As General Partner, Michal leads the VC activities under Zero One Hundred group, which invests in and supports the best founders of Europe and the Middle East.",https://www.linkedin.com/in/michalcsonga/
Luise Gruner,Axel Springer Digital Ventures,"Luise rejoined Axel Springer in 2021 and holds the position as Managing Director of Axel Springer Digital Ventures, the companies’ corporate venture capital arm. ASDV has an investment focus on direct investments in media related business models as well as investments in accelerators und funds.",https://www.linkedin.com/in/luise-gruner/?originalSubdomain=de